stretch.v || Body_movement
part.v || Separating
hold_tongue.v || Become_silent
reappraise.v || Assessing
doublet.n || Clothing
tarn.n || Natural_features
anticipate.v || Expectation
drive.v || Bringing
sea.n || Natural_features
pity.n || Experiencer_focus
paved.a || Abounding_with
rotate.v || Cause_to_move_in_place
underwear.n || Clothing
braid.v || Rope_manipulation
decapitate.v || Killing
cataclysm.n || Catastrophe
rocket.v || Change_position_on_a_scale
fame.n || Fame
introverted.a || Sociability
knowledgeable.a || Expertise
implant.v || Placing
squeal.v || Communication_noise
bucketful.n || Measure_volume
in.prep || Wearing
manufacture.v || Manufacturing
yesterday.n || Calendric_unit
confide.v || Reveal_secret
fluctuate.v || Change_position_on_a_scale
stealer.n || Theft
resuscitate.v || Rejuvenation
co-star_(in).v || Performers_and_roles
harrowing.a || Stimulus_focus
intercept.v || Intercepting
girlfriend.n || Personal_relationship
replica.n || Duplication
dip.v || Change_position_on_a_scale
flutter.v || Body_movement
thicken.v || Change_of_consistency
deify.v || Judgment
eyeshadow.n || Body_decoration
cummerbund.n || Clothing
marsh.n || Biological_area
rear.a || Part_orientational
termination.n || Firing
assault.v || Attack
retreat.v || Quitting_a_place
recall.v || Memory
coin.v || Coming_up_with
annoyance.n || Stimulus_focus
shoplifter.n || Theft
occupy.v || Residence
g-string.n || Clothing
appliance.n || Gizmo
glisten.v || Light_movement
fall.v || Conquering
grimace.v || Making_faces
rehabilitation.n || Cure
mother.n || Kinship
tasteless.a || Chemical-sense_description
assassination.n || Killing
magnification.n || Cause_expansion
jet.v || Ride_vehicle
sob.n || Sounds
fill.v || Adorning
vestibule.n || Building_subparts
lap.v || Ingestion
infant.n || People_by_age
austere.a || Frugality
purl.v || Fluidic_motion
of.prep || Partitive
bind.v || Attaching
oodles.n || Quantity
thief.n || Theft
rueful.a || Experiencer_focus
recluse.n || Sociability
Wednesday.n || Calendric_unit
somnolent.a || Biological_urge
scores.n || Quantity
accomplish.v || Accomplishment
grin.v || Making_faces
murder.n || Killing
route.n || Roadways
amalgamate.v || Cause_to_amalgamate
drizzled.a || Abounding_with
scour.v || Scouring
glint.v || Location_of_light
commute.v || Commutation
arm.n || Observable_body_parts
redhead.n || Body_description_part
braided.a || Hair_configuration
shut.v || Body_movement
veld.n || Biological_area
stupendous.a || Expertise
click.n || Sounds
synonym.n || Word_relations
magistrate.n || People_by_vocation
plough.v || Impact
suspend.v || Activity_pause
operation.n || Businesses
variety.n || Aggregate
pedicure.n || Grooming
impartiality.n || Partiality
concealer.n || Body_decoration
jar.n || Containers
forepaw.n || Observable_body_parts
saturated.a || Being_wet
reply.v || Communication_response
tote.v || Bringing
disquieted.a || Emotion_directed
proficient.a || Expertise
outgoing.a || Sociability
nod.v || Gesture
cure.v || Preserving
jump.v || Traversing
domestic.a || Foreign_or_domestic_country
show.v || Cause_to_perceive
die.v || Death
doyen.n || Leadership
execution.n || Execution
report.n || Statement
filled.a || Abounding_with
bushel.n || Measure_volume
tiff.n || Quarreling
tent.n || Buildings
galvanize.v || Processing_materials
trill.v || Communication_noise
battle.n || Hostile_encounter
faze.v || Experiencer_obj
stigmatize.v || Judgment
strew.v || Filling
win.v || Finish_competition
return.n || Arriving
privileged.a || Wealthiness
dude.n || People
agent.n || Active_substance
heinous.a || Morality_evaluation
